Index,avg_price_per_kg
1,8.724799454212189
2,8.942981243133545
3,8.283286988735199
4,8.018181562423706
5,8.434044182300568
6,5.307683765888214
7,5.128253996372223
8,7.7457592487335205
9,8.856554090976715
10,8.987480163574219
11,6.615847051143646
12,6.4661906361579895
13,8.440053582191467
14,5.203249275684357
15,3.0581281781196594
16,6.69307553768158
17,7.61761075258255
18,5.07435816526413
19,10.787270784378052
20,6.251025378704071
21,5.430405020713806
22,4.857374966144562
23,6.139508664608002
24,6.6408275961875916
25,4.8497543931007385
26,6.56277596950531
27,7.901131093502045
28,8.080583214759827
29,8.39357715845108
30,7.7873730063438416
31,8.706991136074066
32,5.040546000003815
33,9.121852576732635
34,7.649880468845367
35,4.0176995396614075
36,8.565792381763458
37,8.22504472732544
38,9.495650708675385
39,5.7817394733428955
40,6.463992059230804
41,8.716584861278534
42,8.529162347316742
43,8.831421434879303
44,5.027184963226318
45,6.091721892356873
46,6.210145950317383
47,4.051748096942902
48,6.601721882820129
49,6.236477732658386
50,4.324383080005646
51,0.4591448903083801
52,4.930750548839569
53,8.895324110984802
54,10.160365283489227
55,7.871495068073273
56,6.98799866437912
57,8.140572607517242
58,9.276472985744476
59,9.031876146793365
60,8.341345489025116
61,8.961088716983795
62,9.395010530948639
63,4.564523935317993
64,8.156587898731232
65,7.68897145986557
66,5.762433469295502
67,5.091273784637451
68,4.684901714324951
69,6.252807438373566
70,6.400259256362915
71,7.299807548522949
72,6.296397924423218
73,6.405905902385712
74,6.380617141723633
75,5.879397511482239
76,5.593138575553894
77,5.888044238090515
78,9.339175581932068
79,8.569963991641998
80,6.334149479866028
81,8.57604306936264
82,5.346173584461212
83,5.808904647827148
84,6.069297969341278
85,3.6212706565856934
86,5.665297508239746
87,7.674634635448456
88,9.785949409008026
89,3.8188803791999817
90,5.993939101696014
91,8.479511618614197
92,9.000839173793793
93,7.764613449573517
94,5.709155321121216
95,6.715411961078644
96,6.021693825721741
97,7.708361327648163
98,8.621147096157074
99,4.643949091434479
100,6.377473771572113
101,9.289409577846527
102,6.60648775100708
103,4.606734216213226
104,7.8721566796302795
105,7.334222137928009
106,8.428836166858673
107,8.760237872600555
108,5.657647788524628
109,7.827604293823242
110,5.178666412830353
111,5.171716630458832
112,5.068189859390259
113,5.352459073066711
114,6.04097855091095
115,7.456123411655426
116,8.38632333278656
117,6.309826552867889
118,10.27625298500061
119,5.661746561527252
120,7.176565647125244
121,5.3534921407699585
122,5.9878734946250916
123,8.316923558712006
124,5.402806103229523
125,8.732133030891418
126,7.333663523197174
127,5.791555106639862
128,8.218923389911652
129,8.447161078453064
130,6.927992641925812
131,7.745742321014404
132,6.710278868675232
133,9.169447779655457
134,8.335985362529755
135,0.4039624333381653
136,6.650490164756775
137,5.595484375953674
138,8.72471135854721
139,7.9885029792785645
140,5.799752593040466
141,8.09160965681076
142,5.84814578294754
143,8.394173800945282
144,5.117879748344421
145,8.781141102313995
146,6.163477003574371
147,6.307303428649902
148,8.917829096317291
149,7.39540559053421
150,8.497040510177612
151,8.319016933441162
152,8.001569390296936
153,5.759160935878754
154,8.172399640083313
155,7.816411554813385
156,10.475986301898956
157,6.8061951994895935
158,5.593563556671143
159,7.078889966011047
160,7.600186288356781
161,8.760056793689728
162,8.751109063625336
163,7.12876433134079
164,9.222118437290192
165,7.972760796546936
166,8.657926678657532
167,6.637682616710663
168,7.372759461402893
169,7.075934946537018
170,7.510133743286133
171,8.72384375333786
172,8.39421534538269
173,6.758253276348114
174,8.591090381145477
175,4.56410813331604
176,4.397339463233948
177,8.787024438381195
178,6.083201050758362
179,5.931154906749725
180,5.866975665092468
181,6.4926629066467285
182,-1.9425468444824219
183,10.912785053253174
184,8.01286780834198
185,6.380647659301758
186,-2.0849385261535645
187,5.311096668243408
188,8.058824360370636
189,7.481354057788849
190,7.624328553676605
191,6.302194595336914
192,8.702870965003967
193,5.659433662891388
194,3.002333641052246
195,8.210016131401062
196,10.931999325752258
197,6.167862117290497
198,4.505114257335663
199,5.739432752132416
200,8.01248162984848
201,5.175204157829285
202,5.307418167591095
203,7.670605957508087
204,3.6027867794036865
205,6.689225137233734
206,4.677721321582794
207,8.155942380428314
208,6.6408275961875916
209,6.986721575260162
210,8.304157853126526
211,7.459149599075317
212,10.941699504852295
213,6.245004594326019
214,8.298499166965485
215,8.75049477815628
216,6.736598253250122
217,6.368835628032684
218,6.515902578830719
219,5.893143832683563
220,8.283672869205475
